geoid,Centx,Centy
481130001001,-96.73001,32.818675
481130001002,-96.741534,32.812402
481130001003,-96.74408,32.818247
481130002011,-96.756958,32.8396
481130002012,-96.757156,32.832888
481130002013,-96.757364,32.826132
481130002021,-96.765856,32.824953
481130002022,-96.765625,32.836599
481130002023,-96.765812,32.829674
481130003001,-96.772331,32.829763
481130009004,-96.778215,32.809583
481130003002,-96.776486,32.834321
481130003003,-96.779394,32.826447
481130004011,-96.834018,32.813941
481130004043,-96.825406,32.819536
481130004012,-96.82628,32.811019
481130004013,-96.821597,32.806352
481130004041,-96.830166,32.822161
481130004042,-96.832075,32.819566
481130005001,-96.816106,32.812988
481130181323,-96.585193,32.833899
481130004044,-96.82461,32.816365
481130004051,-96.819876,32.814932
481130004052,-96.821157,32.812101
481130004061,-96.850026,32.833543
481130004062,-96.8542,32.829712
481130005002,-96.810931,32.803484
481130004063,-96.865842,32.846774
481130004064,-96.855444,32.834607
481130004065,-96.840208,32.827136
481130181331,-96.540848,32.899627
481130005003,-96.815556,32.808348
481130005004,-96.812045,32.809816
481130006011,-96.821908,32.831623
481130006012,-96.819835,32.826087
481130006013,-96.826998,32.82637
481130006014,-96.823542,32.824124
481130006015,-96.820067,32.820792
481130006031,-96.809859,32.818007
481130006032,-96.81033,32.820911
481130006033,-96.814398,32.816837
481130006034,-96.804763,32.820165
481130006051,-96.809482,32.812441
481130006052,-96.804817,32.808493
481130006061,-96.798907,32.817544
481130006062,-96.806363,32.814974
481130006063,-96.802256,32.811669
481130007011,-96.796652,32.812751
481130007012,-96.794917,32.809781
481130007021,-96.785876,32.826569
481130007022,-96.790516,32.821052
481130007023,-96.791016,32.818205
481130008001,-96.785014,32.812044
481130008002,-96.78903,32.810177
481130008003,-96.782531,32.808291
481130008004,-96.785078,32.803897
481130008005,-96.779919,32.805603
481130009001,-96.785216,32.817287
481130009002,-96.781619,32.813938
481130009003,-96.776326,32.811328
481130010011,-96.773789,32.820467
481130010012,-96.780405,32.822183
481130010021,-96.778952,32.818625
481130010022,-96.773571,32.813906
481130011011,-96.768525,32.810935
481130011012,-96.765844,32.820135
481130011013,-96.765232,32.813546
481130078092,-96.738065,32.860049
481130078101,-96.741057,32.911761
481130078102,-96.74203,32.907966
481130078103,-96.743357,32.903802
481130078104,-96.733187,32.904997
481130078111,-96.725744,32.902844
481130078112,-96.721471,32.900795
481130166073,-96.884998,32.650988
481130078113,-96.721004,32.896927
481130078114,-96.725693,32.898127
481130081004,-96.719207,32.8113
481130081005,-96.709161,32.823706
481130082001,-96.699808,32.846516
481130082002,-96.695267,32.842134
481130082003,-96.698403,32.834883
481130082004,-96.691343,32.838428
481130167012,-96.770613,32.66055
481130084001,-96.724254,32.773381
481130084002,-96.713109,32.778399
481130084003,-96.71534,32.771103
481130167011,-96.776901,32.657803
481130166052,-96.86073,32.641324
481130166061,-96.879841,32.647168
481130166071,-96.881895,32.65345
481130166072,-96.888743,32.653609
481130011022,-96.757211,32.818635
481130167013,-96.762924,32.664028
481130167014,-96.761216,32.656543
481130181244,-96.541711,32.917679
481130181291,-96.608963,32.839464
481130181301,-96.625088,32.846454
481130181321,-96.571836,32.833838
481130181332,-96.591131,32.896802
481130192122,-96.759903,32.93724
481130192123,-96.760135,32.930981
481130192131,-96.756351,32.933736
481130181351,-96.533223,32.878436
481130181361,-96.553407,32.876776
481130011021,-96.757003,32.821509
481130192132,-96.753769,32.938155
481130193021,-96.772529,32.849201
481130195023,-96.813327,32.847102
481130198001,-96.818179,32.825301
481130199003,-96.890013,32.731342
481130201001,-96.891027,32.840805
481130011023,-96.757737,32.815021
481130012021,-96.734382,32.799335
481130012022,-96.740578,32.805996
481130012023,-96.736757,32.807484
481130012031,-96.743043,32.803131
481130012032,-96.745519,32.801919
481130012041,-96.750051,32.800126
481130012042,-96.746757,32.79732
481130013011,-96.752568,32.803881
481130014002,-96.769104,32.802882
481130013012,-96.750277,32.808522
481130013013,-96.756573,32.806189
481130013021,-96.759399,32.800622
481130013022,-96.766414,32.801677
481130013023,-96.763462,32.799956
481130014001,-96.762882,32.806046
481130057002,-96.80551,32.707605
481130057003,-96.796379,32.703423
481130057004,-96.800872,32.699035
481130059011,-96.810944,32.703954
481130059012,-96.81206,32.695286
481130096052,-96.860051,32.911429
481130059013,-96.806366,32.695668
481130059014,-96.805498,32.690291
481130059015,-96.809494,32.686176
481130059016,-96.801716,32.686413
481130064022,-96.874114,32.732045
481130064023,-96.871524,32.727822
481130064024,-96.871568,32.722619
481130065011,-96.894391,32.728307
481130065012,-96.886041,32.731153
481130065013,-96.880188,32.731629
481130065021,-96.879882,32.724528
481130065022,-96.886764,32.726361
481130065023,-96.88397,32.720265
481130096042,-96.814551,32.920111
481130096043,-96.809966,32.913805
481130096044,-96.81581,32.924147
481130096071,-96.859803,32.902881
481130096051,-96.868619,32.913113
481130096072,-96.867968,32.905947
481130096073,-96.867184,32.898856
481130096081,-96.842334,32.912964
481130091031,-96.704874,32.742424
481130091032,-96.703497,32.737047
481130091041,-96.696062,32.745206
481130091042,-96.687438,32.745731
481130091051,-96.697196,32.738181
481130091052,-96.691953,32.737287
481130091053,-96.686512,32.738965
481130108014,-96.901036,32.710899
481130092011,-96.667174,32.745872
481130092012,-96.678466,32.745374
481130108013,-96.906981,32.717195
481130108031,-96.86095,32.701217
481130108032,-96.869158,32.701971
481130108033,-96.865612,32.694743
481130108034,-96.895563,32.700947
481130108035,-96.885356,32.6957
481130108036,-96.88095,32.700661
481130108041,-96.86141,32.714403
481130124005,-96.691343,32.827448
481130124006,-96.681158,32.823205
481130125001,-96.665722,32.83739
481130125002,-96.661319,32.823814
481130125003,-96.66644,32.831978
481130125004,-96.66501,32.826263
481130125005,-96.672581,32.825645
481130014004,-96.756569,32.809522
481130015021,-96.769692,32.796923
481130126011,-96.661374,32.857581
481130126012,-96.662096,32.848414
481130014003,-96.760823,32.80984
481130015044,-96.776683,32.796603
481130015022,-96.771198,32.791833
481130015023,-96.766857,32.794463
481130015024,-96.764703,32.79256
481130015031,-96.772983,32.806636
481130015032,-96.776978,32.80326
481130015033,-96.780142,32.799607
481130015041,-96.770142,32.805715
481130015042,-96.77503,32.801545
481130015043,-96.772918,32.799722
481130016001,-96.788387,32.794708
481130079133,-96.76943,32.848451
481130079141,-96.770319,32.841667
481130079142,-96.764327,32.845115
481130063012,-96.84496,32.718608
481130080001,-96.738162,32.828712
481130080002,-96.738921,32.837051
481130080003,-96.747778,32.834518
481130080004,-96.728235,32.839665
481130080005,-96.744439,32.82366
481130080006,-96.748918,32.82727
481130081001,-96.714727,32.828249
481130017011,-96.795159,32.789908
481130190194,-96.715516,32.913631
481130190341,-96.724127,32.920669
481130017031,-96.797255,32.801869
481130190342,-96.732805,32.919686
481130190351,-96.720766,32.913434
481130190352,-96.722961,32.911004
481130190353,-96.727888,32.913215
481130190401,-96.752039,32.928969
481130190411,-96.734687,32.924864
481130190412,-96.72676,32.925453
481130190413,-96.723524,32.92537
481130016002,-96.78971,32.801042
481130017032,-96.796494,32.795629
481130017033,-96.796429,32.79874
481130017041,-96.79998,32.796576
481130017042,-96.801807,32.791648
481130018001,-96.800853,32.805529
481130018002,-96.80431,32.798886
481130024003,-96.75468,32.796064
481130019001,-96.8079,32.794869
481130019002,-96.809689,32.789906
481130020001,-96.81928,32.7623
481130020002,-96.812823,32.760742
481130027021,-96.75261,32.772499
481130020003,-96.811931,32.753527
481130020004,-96.819643,32.75187
481130020005,-96.814164,32.755816
481130021001,-96.805746,32.783055
481130021002,-96.798786,32.785972
481130087031,-96.776126,32.706144
481130022001,-96.785072,32.790719
481130022002,-96.777033,32.788595
481130024001,-96.759003,32.797231
481130024002,-96.757751,32.791816
481130025001,-96.738303,32.783415
481130025002,-96.740918,32.787124
481130025003,-96.749475,32.786744
481130025004,-96.75986,32.787078
481130027011,-96.733969,32.771938
481130027012,-96.740962,32.771939
481130027013,-96.742999,32.775754
481130027014,-96.747388,32.776957
481130141231,-96.943803,32.967068
481130027022,-96.749778,32.768881
481130031011,-96.794623,32.780942
481130031012,-96.803938,32.778745
481130034001,-96.782212,32.756729
481130034002,-96.777948,32.764037
481130037001,-96.760509,32.767041
481130037002,-96.766755,32.762328
481130037003,-96.75813,32.762518
481130037004,-96.765551,32.757604
481130063013,-96.850729,32.717723
481130038001,-96.76166,32.753475
481130038002,-96.751416,32.760867
481130038003,-96.757657,32.756496
481130039011,-96.743281,32.763583
481130039012,-96.746872,32.756632
481130039021,-96.754862,32.743769
481130039022,-96.754094,32.750431
481130040001,-96.771607,32.751083
481130040002,-96.762704,32.742279
481130044001,-96.839238,32.75645
481130041001,-96.806107,32.746744
481130041002,-96.802351,32.754684
481130042011,-96.829859,32.764015
481130042012,-96.834067,32.753673
481130042013,-96.826419,32.758128
481130042014,-96.825379,32.752028
481130042015,-96.829719,32.752029
481130042021,-96.840749,32.751563
481130042022,-96.847504,32.751528
481130042023,-96.85179,32.754509
481130052003,-96.850444,32.738158
481130043001,-96.829356,32.772721
481130043002,-96.846312,32.775661
481130043003,-96.846643,32.769487
481130044002,-96.842674,32.761196
481130044003,-96.8539,32.761173
481130045001,-96.856171,32.748519
481130045002,-96.869248,32.747302
481130045003,-96.862838,32.744223
481130045004,-96.871712,32.738776
481130046001,-96.840732,32.746475
481130046002,-96.847414,32.747451
481130047001,-96.828254,32.74524
481130052004,-96.846077,32.738136
481130047002,-96.829279,32.747244
481130047003,-96.834825,32.747291
481130048001,-96.812739,32.748215
481130048002,-96.818372,32.748943
481130048003,-96.819679,32.74479
481130048004,-96.818694,32.739008
481130049001,-96.808493,32.731632
481130049002,-96.804365,32.742119
481130049003,-96.805814,32.737398
481130049004,-96.802422,32.73199
481130050001,-96.827469,32.740784
481130050002,-96.834907,32.740127
481130063014,-96.854539,32.716755
481130050003,-96.829957,32.735745
481130051001,-96.840982,32.739391
481130051002,-96.844378,32.733234
481130052001,-96.850603,32.744141
481130052002,-96.854622,32.73918
481130053001,-96.860101,32.738096
481130053002,-96.866283,32.73802
481130053003,-96.866182,32.731909
481130053004,-96.860214,32.732089
481130053005,-96.853372,32.731089
481130060011,-96.837295,32.702899
481130054001,-96.818056,32.73218
481130054002,-96.812738,32.722059
481130054003,-96.818419,32.727406
481130054004,-96.819843,32.722571
481130055001,-96.78914,32.732678
481130055002,-96.797125,32.725735
481130055003,-96.805995,32.724429
481130055004,-96.805707,32.717445
481130056001,-96.82163,32.718451
481130056002,-96.81877,32.710348
481130056003,-96.825749,32.709976
481130056004,-96.815361,32.712794
481130057001,-96.795897,32.690506
481130059021,-96.818728,32.704133
481130059022,-96.818681,32.692883
481130060012,-96.833733,32.708329
481130060013,-96.836899,32.711049
481130060021,-96.829058,32.69572
481130060022,-96.832296,32.701126
481130060023,-96.835886,32.697124
481130061001,-96.851912,32.700022
481130061002,-96.84507,32.697001
481130062001,-96.827866,32.727286
481130063011,-96.843915,32.715266
481130062002,-96.832746,32.730194
481130062003,-96.835328,32.724582
481130062004,-96.837075,32.717541
481130062005,-96.831993,32.71627
481130063015,-96.850751,32.70983
481130063016,-96.842109,32.709436
481130063021,-96.84225,32.726251
481130063022,-96.849333,32.726811
481130063023,-96.850796,32.722259
481130064011,-96.860684,32.72646
481130064012,-96.86641,32.7253
481130064021,-96.876054,32.724104
481130067001,-96.8776,32.74535
481130068001,-96.87066,32.751962
481130069003,-96.870227,32.757565
481130067002,-96.892596,32.745389
481130067003,-96.887664,32.744216
481130067004,-96.876528,32.738258
481130096102,-96.885394,32.8998
481130068002,-96.861998,32.75331
481130068003,-96.859558,32.758004
481130069001,-96.864164,32.764056
481130069002,-96.869923,32.761862
481130071011,-96.817067,32.848317
481130071012,-96.817903,32.841044
481130071021,-96.825741,32.84806
481130071022,-96.834291,32.848477
481130071023,-96.826559,32.834354
481130077002,-96.799802,32.866944
481130071024,-96.829016,32.842144
481130071025,-96.825861,32.838984
481130072011,-96.875338,32.864247
481130072012,-96.870176,32.85853
481130072013,-96.875246,32.85964
481130072014,-96.877674,32.855563
481130072015,-96.874549,32.855224
481130072021,-96.869248,32.862708
481130072022,-96.866887,32.861354
481130072023,-96.865257,32.859453
481130072024,-96.866799,32.864876
481130072025,-96.862085,32.860626
481130098024,-96.862866,32.868379
481130073011,-96.818598,32.85845
481130073012,-96.811176,32.860865
481130073023,-96.830847,32.858543
481130073021,-96.84263,32.856456
481130073022,-96.825457,32.856534
481130073024,-96.844161,32.861705
481130076011,-96.828022,32.889824
481130077001,-96.791124,32.876713
481130076012,-96.832239,32.883701
481130076041,-96.791622,32.890504
481130076042,-96.79156,32.883037
481130076043,-96.800214,32.887429
481130076051,-96.814735,32.887403
481130076052,-96.806458,32.887262
481130077003,-96.799793,32.87416
481130077004,-96.791058,32.869421
481130078011,-96.777303,32.871595
481130078012,-96.782131,32.876234
481130078051,-96.754806,32.906163
481130078041,-96.752345,32.912338
481130078042,-96.756492,32.919453
481130078043,-96.763099,32.91541
481130078044,-96.747958,32.916841
481130078151,-96.759459,32.873462
481130078052,-96.760909,32.900466
481130078053,-96.753887,32.900859
481130078091,-96.748959,32.859425
481130078121,-96.745711,32.89732
481130078122,-96.746927,32.885727
481130078152,-96.759046,32.878428
481130078153,-96.754527,32.882245
481130078181,-96.755909,32.866219
481130078182,-96.751678,32.865083
481130078183,-96.760936,32.869781
481130078184,-96.75863,32.868439
481130078191,-96.756649,32.864012
481130078192,-96.764545,32.868468
481130078201,-96.746568,32.866669
481130078202,-96.756885,32.869614
481130078203,-96.751854,32.867422
481130078211,-96.755292,32.872301
481130078212,-96.756768,32.873122
481130078213,-96.747558,32.872805
481130078221,-96.765997,32.875677
481130078222,-96.767732,32.884146
481130078231,-96.767378,32.895105
481130079021,-96.735775,32.850471
481130078232,-96.761838,32.891361
481130078233,-96.763747,32.886688
481130078241,-96.737856,32.882755
481130079022,-96.742853,32.852139
481130078242,-96.738304,32.874391
481130078251,-96.734283,32.897484
481130079023,-96.747237,32.841675
481130078252,-96.734551,32.890131
481130078253,-96.729931,32.892158
481130078254,-96.739317,32.889688
481130078255,-96.727194,32.893406
481130079132,-96.766022,32.847379
481130078261,-96.734187,32.87125
481130078271,-96.72821,32.890479
481130078272,-96.733647,32.881653
481130078273,-96.731556,32.882166
481130096103,-96.886783,32.906483
481130079024,-96.749757,32.85399
481130079025,-96.748636,32.847792
481130079031,-96.755213,32.854526
481130079032,-96.757262,32.84673
481130079061,-96.779658,32.862007
481130081002,-96.701504,32.826937
481130079062,-96.77342,32.859316
481130079091,-96.762358,32.852221
481130079092,-96.767827,32.853842
481130079101,-96.76151,32.85745
481130079102,-96.763313,32.854972
481130079111,-96.76159,32.862786
481130079112,-96.757454,32.860202
